Area Type,Area,Area Name,Standard Occupational Code,Occupational Title,Employment,Mean Wage,Median Wage,Entry Wage,Experienced Wage
10,5,Long Island Region, 27-1023, Floral Designers,460,35760,35600,26820,40220
10,8,North Country Region, 47-2071,"Paving, Surfacing, and Tamping Equipment Operators",110,39220,37910,31210,43230
10,7,New York City Region, 47-2121, Glaziers,720,59940,55170,29500,75160
10,9,Southern Tier Region, 27-4011, Audio and Video Equipment Technicians,120,40490,37830,21632,50500
10,5,Long Island Region, 47-3015,"Helpers--Pipelayers, Plumbers, Pipefitters, and Steamfitters",370,40260,39300,29230,45780
10,5,Long Island Region, 17-2112, Industrial Engineers,1310,94080,93090,64230,109000
10,7,New York City Region, 17-2112, Industrial Engineers,1270,126710,96170,59150,160490
10,9,Southern Tier Region, 15-1133," Software Developers, Systems Software",630,103910,99760,68150,121800
1,36,New York State, 19-4061, Social Science Research Assistants,5370,49820,46410,25630,61910
10,8,North Country Region, 25-4031, Library Technicians,250,28280,23830,21632,32010
10,5,Long Island Region, 51-5112, Printing Press Operators,1230,43500,43220,25920,52290
10,10,Western New York Region, 51-6031, Sewing Machine Operators,500,28310,28070,22840,31040
10,2,Central New York Region, 11-9032,"Education Administrators, Elementary and Secondary School",590,99050,99800,78060,109550
10,6,Mohawk Valley Region, 51-6011, Laundry and Dry-Cleaning Workers,480,24220,22800,21632,25870
10,8,North Country Region, 29-2021, Dental Hygienists,320,72490,73330,63990,76740
10,9,Southern Tier Region, 53-1048,,460,55530,53360,37130,64720
10,6,Mohawk Valley Region, 49-2092," Electric Motor, Power Tool, and Related Repairers",n/a,35290,34800,27790,39050
10,2,Central New York Region, 13-1020,Buyers and Purchasing Agents,910,66130,64180,42370,78010
10,9,Southern Tier Region, 45-4029," Logging Workers, All Other",n/a,28410,26600,22610,31310
10,7,New York City Region, 51-9122," Painters, Transportation Equipment",270,48070,48260,37300,53460
10,1,Capital Region, 43-2011,"Switchboard Operators, Including Answering Service",210,28520,27210,23260,31150
10,4,Hudson Valley Region, 43-5041," Meter Readers, Utilities",n/a,51740,52970,35600,59810
10,3,Finger Lakes Region, 49-0000,"Installation, Maintenance, and Repair Occupations",20330,46210,43660,29460,54580
1,36,New York State, 51-4032,"Drilling and Boring Machine Tool Setters, Operators, and Tenders, Metal and Plastic",320,36250,33390,26090,41330
10,10,Western New York Region, 43-4031," Court, Municipal, and License Clerks",580,47330,44460,30560,55720
10,6,Mohawk Valley Region, 11-3011, Administrative Services Managers,210,106070,92300,67830,125190
10,9,Southern Tier Region, 39-5012," Hairdressers, Hairstylists, and Cosmetologists",550,32020,26890,21840,37100
10,10,Western New York Region, 43-5071," Shipping, Receiving, and Traffic Clerks",2360,34940,32710,25550,39640
10,3,Finger Lakes Region, 39-0000,Personal Care and Service Occupations,22370,29090,24880,21910,32670
10,6,Mohawk Valley Region, 11-9021, Construction Managers,70,116030,105750,76090,136000
10,3,Finger Lakes Region, 51-3099," Food Processing Workers, All Other",100,33640,29920,24590,38160
10,2,Central New York Region, 25-9031, Instructional Coordinators,400,59560,58510,50820,63930
10,5,Long Island Region, 51-9191, Adhesive Bonding Machine Operators and Tenders,n/a,32760,32460,27080,35600
10,7,New York City Region, 31-9094, Medical Transcriptionists,300,50880,50050,42550,55040
10,5,Long Island Region, 25-1063," Economics Teachers, Postsecondary",140,97710,81750,57190,117970
10,10,Western New York Region, 13-1051, Cost Estimators,910,62620,59480,40530,73660
10,4,Hudson Valley Region, 17-3013, Mechanical Drafters,150,57230,54980,42620,64530
10,4,Hudson Valley Region, 39-0000,Personal Care and Service Occupations,45570,33720,28470,22480,39340
10,9,Southern Tier Region, 11-3011, Administrative Services Managers,350,113970,106630,67330,137290
10,3,Finger Lakes Region, 23-2091, Court Reporters,n/a,87280,83170,69000,96420
10,2,Central New York Region, 33-1011, First-Line Supervisors of Correctional Officers,150,75380,74820,57710,84220
1,36,New York State, 25-1032," Engineering Teachers, Postsecondary",2690,127810,112480,69020,157200
10,4,Hudson Valley Region, 29-1022, Oral and Maxillofacial Surgeons,n/a,273910,,,
10,10,Western New York Region, 17-2031, Biomedical Engineers,n/a,74300,77130,51800,85550
1,36,New York State, 33-3031, Fish and Game Wardens,390,69160,71520,54330,76570
10,3,Finger Lakes Region, 35-1011, Chefs and Head Cooks,540,50470,52020,36920,57250
10,6,Mohawk Valley Region, 23-2011, Paralegals and Legal Assistants,60,47230,43090,31690,54990
10,5,Long Island Region, 19-1013, Soil and Plant Scientists,n/a,87760,91420,66820,98230
10,1,Capital Region, 51-8091, Chemical Plant and System Operators,390,58780,57070,41770,67290
10,7,New York City Region, 43-3011, Bill and Account Collectors,4500,49570,47340,30960,58870
10,9,Southern Tier Region, 29-1081, Podiatrists,n/a,158690,126020,106260,184910
10,8,North Country Region, 25-1042," Biological Science Teachers, Postsecondary",100,81590,72070,47970,98410
10,1,Capital Region, 47-3011,"Helpers--Brickmasons, Blockmasons, Stonemasons, and Tile and Marble Setters",n/a,43080,40060,33380,47940
10,9,Southern Tier Region, 29-0000,Healthcare Practitioners and Technical Occupations,15390,70780,59550,37560,87390
10,1,Capital Region, 49-2096,"Electronic Equipment Installers and Repairers, Motor Vehicles",n/a,42190,39470,35000,45790
10,1,Capital Region, 29-1051, Pharmacists,1620,123120,129830,92080,138630
10,4,Hudson Valley Region, 25-3097,"Teachers and Instructors, All Other, Except Substitute Teachers",1520,53050,36830,23580,67780
10,3,Finger Lakes Region, 47-5021," Earth Drillers, Except Oil and Gas",n/a,54910,47210,37370,63680
10,4,Hudson Valley Region, 17-3023, Electrical and Electronic Engineering Technicians,840,74550,72310,49630,87020
10,9,Southern Tier Region, 11-9081,Lodging Managers,n/a,55740,54390,42410,62400
10,4,Hudson Valley Region, 11-9032,"Education Administrators, Elementary and Secondary School",3350,151090,152440,109890,171690
10,5,Long Island Region, 51-7011, Cabinetmakers and Bench Carpenters,900,46320,43270,31830,53560
10,7,New York City Region, 17-2041,Chemical Engineers,n/a,93570,96390,59420,110640
10,3,Finger Lakes Region, 29-2033, Nuclear Medicine Technologists,80,80880,79770,68190,87230
10,6,Mohawk Valley Region, 53-7061, Cleaners of Vehicles and Equipment,220,26570,24590,22850,28430
10,3,Finger Lakes Region, 27-1014, Multimedia Artists and Animators,n/a,70000,64580,39300,85360
10,3,Finger Lakes Region, 27-3022, Reporters and Correspondents,60,63250,47600,31310,79210
10,5,Long Island Region, 27-3022, Reporters and Correspondents,n/a,49050,42420,28400,59370
10,4,Hudson Valley Region, 33-3051, Police and Sheriff's Patrol Officers,4830,87760,90180,59180,102050
10,10,Western New York Region, 35-9099,"Food Preparation and Serving Related Workers, All Other",100,23430,22450,21632,24500
10,10,Western New York Region, 25-1113," Social Work Teachers, Postsecondary",120,58030,41090,33660,70210
10,3,Finger Lakes Region, 29-9099,"Healthcare Practitioners and Technical Workers, All Other",n/a,90750,87050,55900,108170
10,4,Hudson Valley Region, 51-2098,"Assemblers and fabricators, all other, including team assemblers¿(OES-specific code and title)",3470,33180,29860,22380,38580
10,2,Central New York Region, 47-4090,Miscellaneous Construction and Related Workers,n/a,35440,36410,27900,39210
10,2,Central New York Region, 25-2012," Kindergarten Teachers, Except Special Education",240,62380,62860,42250,72440
10,5,Long Island Region, 47-2073,Operating Engineers and Other Construction Equipment Operators,2350,80240,70010,50670,95030
10,3,Finger Lakes Region, 19-4099,"Life, Physical, and Social Science Technicians, All Other",560,43420,41160,29360,50450
10,8,North Country Region, 17-3011, Architectural and Civil Drafters,50,40610,40930,29540,46140
10,9,Southern Tier Region, 47-3012,Helpers--Carpenters,n/a,33430,32440,27200,36540
1,36,New York State, 41-2021, Counter and Rental Clerks,20880,30540,25370,21840,34890
1,36,New York State, 29-1031, Dietitians and Nutritionists,4800,67510,65440,50780,75870
10,9,Southern Tier Region, 33-9092,"Lifeguards, Ski Patrol, and Other Recreational Protective Service",n/a,23940,22880,21632,25520
10,6,Mohawk Valley Region, 47-3013,Helpers--Electricians,n/a,22280,21632,21632,23150
10,5,Long Island Region, 25-2021,"Elementary School Teachers, Except Special Education",13670,104490,111700,70510,121480
10,2,Central New York Region, 25-3011,Adult Basic and Secondary Education and Literacy Teachers and Instructors,510,69730,64640,46230,81480
10,4,Hudson Valley Region, 11-3051, Industrial Production Managers,500,153540,146150,92650,183980
10,8,North Country Region, 31-9097, Phlebotomists,120,34520,33940,28460,37550
10,9,Southern Tier Region, 11-3131, Training and Development Managers,50,106210,88520,59450,129590
10,10,Western New York Region, 23-1023," Judges, Magistrate Judges, and Magistrates",310,155200,157160,137810,163890
10,4,Hudson Valley Region, 47-5041, Continuous Mining Machine Operators,n/a,42650,41970,31650,48150
10,3,Finger Lakes Region, 47-2031, Carpenters,3230,44580,42580,29350,52190
10,4,Hudson Valley Region, 11-3131, Training and Development Managers,330,146840,146370,90660,174930
10,1,Capital Region, 51-4111, Tool and Die Makers,110,54390,53160,39860,61660
10,2,Central New York Region, 47-2181, Roofers,390,45920,38510,25510,56130
10,4,Hudson Valley Region, 27-4031,"Camera Operators, Television, Video, and Motion Picture",n/a,46910,45170,36940,51900
1,36,New York State, 53-4021," Railroad Brake, Signal, and Switch Operators",640,75180,71330,56680,84430
10,5,Long Island Region, 43-4141, New Accounts Clerks,n/a,44310,45960,37910,47520
10,4,Hudson Valley Region, 29-1031, Dietitians and Nutritionists,760,70960,70460,50390,81250
10,9,Southern Tier Region, 43-4111," Interviewers, Except Eligibility and Loan",350,34640,32920,26660,38630
1,36,New York State, 11-9081,Lodging Managers,530,83470,72890,47920,101250
10,5,Long Island Region, 43-5011, Cargo and Freight Agents,1120,48600,46220,30860,57460
10,2,Central New York Region, 51-9195,"Molders, Shapers, and Casters, Except Metal and Plastic",n/a,35400,31880,26860,39670
10,7,New York City Region, 17-3013, Mechanical Drafters,850,62990,61030,36700,76130
10,2,Central New York Region, 19-2042,"Geoscientists, Except Hydrologists and Geographers",60,79710,76310,52760,93190
10,6,Mohawk Valley Region, 35-2014," Cooks, Restaurant",1960,29670,25120,22480,33270
10,8,North Country Region, 51-7041,"Sawing Machine Setters, Operators, and Tenders, Wood",n/a,33120,31540,29320,35030
10,1,Capital Region, 25-1194," Vocational Education Teachers, Postsecondary",290,54470,53800,36970,63210
10,4,Hudson Valley Region, 29-1171, Nurse Practitioners,1180,119960,120190,95230,132320
10,6,Mohawk Valley Region, 29-1141, Registered Nurses,4800,65710,65190,52200,72470
10,8,North Country Region, 19-1023, Zoologists and Wildlife Biologists,30,70890,71080,58180,77240
10,7,New York City Region, 43-5053,"Postal Service Mail Sorters, Processors, and Processing Machine Operators",4690,52140,58610,37310,59560
10,2,Central New York Region, 11-3051, Industrial Production Managers,320,112480,103880,75210,131120
10,9,Southern Tier Region, 13-1071, Human Resources Specialists,780,65560,64410,43210,76730
10,4,Hudson Valley Region, 47-2073,Operating Engineers and Other Construction Equipment Operators,2010,82860,71150,53330,97620
10,8,North Country Region, 13-2011, Accountants and Auditors,660,60780,57120,39810,71260
10,6,Mohawk Valley Region, 23-1023," Judges, Magistrate Judges, and Magistrates",190,155730,156160,144110,161540
10,4,Hudson Valley Region, 15-1199," Computer Occupations, All Other",370,94560,90640,65350,109160
10,4,Hudson Valley Region, 47-2051, Cement Masons and Concrete Finishers,930,75640,77150,49460,88720
10,5,Long Island Region, 53-1011, Aircraft Cargo Handling Supervisors,n/a,53300,43960,34340,62790
10,1,Capital Region, 31-1011, Home Health Aides,5490,27370,24860,23100,29500
10,9,Southern Tier Region, 49-9095, Manufactured Building and Mobile Home Installers,n/a,28880,29330,22770,31940
10,7,New York City Region, 17-2141, Mechanical Engineers,2420,98470,92840,64580,115420
10,4,Hudson Valley Region, 13-2072, Loan Officers,640,107520,94170,50870,135840
10,2,Central New York Region, 17-3029,"Engineering Technicians, Except Drafters, All Other",90,49800,51830,35100,57150
10,1,Capital Region, 29-2057, Ophthalmic Medical Technicians,n/a,40710,38120,31680,45220
1,36,New York State, 33-3041, Parking Enforcement Workers,550,43590,39910,31580,49590
10,1,Capital Region, 37-2012, Maids and Housekeeping Cleaners,2550,24730,23920,22330,25930
10,4,Hudson Valley Region, 31-1013, Psychiatric Aides,1070,43910,44620,30420,50660
10,9,Southern Tier Region, 35-3021,"Combined Food Preparation and Serving Workers, Including Fast Food",6860,23460,22150,21632,24690
10,1,Capital Region, 15-1131, Computer Programmers,2250,78720,78490,60130,88010
10,6,Mohawk Valley Region, 35-3031, Waiters and Waitresses,3690,27800,23290,21632,31240
1,36,New York State, 33-3012, Correctional Officers and Jailers,34820,65820,67700,49870,73790
1,36,New York State, 15-1132," Software Developers, Applications",49190,117320,111750,73530,139220
10,6,Mohawk Valley Region, 13-1075, Labor Relations Specialists,160,72170,62260,33020,91740
10,2,Central New York Region, 29-2021, Dental Hygienists,630,68530,69390,57940,73820
10,9,Southern Tier Region, 35-3031, Waiters and Waitresses,3970,25690,21632,21632,28130
10,5,Long Island Region, 13-1071, Human Resources Specialists,3620,73160,67250,47650,85910
10,5,Long Island Region, 13-2011, Accountants and Auditors,13440,90080,82630,56630,106800
1,36,New York State, 51-9141, Semiconductor Processors,n/a,55690,53710,37150,64960
10,5,Long Island Region, 35-0000,Food Preparation and Serving Related Occupations,103060,30040,25080,22880,34160
10,1,Capital Region, 43-3051, Payroll and Timekeeping Clerks,530,47010,46420,34010,53510
10,4,Hudson Valley Region, 51-6021," Pressers, Textile, Garment, and Related Materials",560,24740,23580,22280,25960
10,2,Central New York Region, 19-3093, Historians,n/a,31080,28300,25100,34060
10,3,Finger Lakes Region, 43-4121," Library Assistants, Clerical",600,28840,26840,22440,32040
10,1,Capital Region, 49-2098, Security and Fire Alarm Systems Installers,300,39400,33730,22790,47700
10,6,Mohawk Valley Region, 51-7011, Cabinetmakers and Bench Carpenters,n/a,44550,39630,28970,52330
10,9,Southern Tier Region, 37-2021, Pest Control Workers,n/a,30840,28330,23640,34430
10,6,Mohawk Valley Region, 51-9012,"Separating, Filtering, Clarifying, Precipitating, and Still Machine Setters, Operators, and Tenders",100,40210,38040,32480,44080
10,3,Finger Lakes Region, 49-9011, Mechanical Door Repairers,n/a,39990,42130,28490,45740
1,36,New York State, 19-2043, Hydrologists,n/a,85140,80010,53540,100930
10,2,Central New York Region, 43-5052, Postal Service Mail Carriers,930,50360,51970,36370,57360
10,9,Southern Tier Region, 47-2061, Construction Laborers,1640,43100,35560,25400,51940
10,1,Capital Region, 43-4031," Court, Municipal, and License Clerks",850,43650,40630,32530,49210
10,3,Finger Lakes Region, 51-9123," Painting, Coating, and Decorating Workers",60,33740,31500,27020,37100
10,4,Hudson Valley Region, 25-1069,"Social Sciences Teachers, Postsecondary, All Other",460,92090,74630,49200,113540
10,1,Capital Region, 15-0000,Computer and Mathematical Occupations,16710,78800,76400,49420,93490
10,2,Central New York Region, 47-2044, Tile and Marble Setters,150,49630,48760,34690,57100
10,3,Finger Lakes Region, 43-9041, Insurance Claims and Policy Processing Clerks,330,45330,43840,35020,50490
10,10,Western New York Region, 13-1111, Management Analysts,1620,75720,69700,47750,89700
10,4,Hudson Valley Region, 43-9071," Office Machine Operators, Except Computer",880,35890,36020,28620,39530
10,4,Hudson Valley Region, 27-1025, Interior Designers,290,66930,67200,46710,77040
10,2,Central New York Region, 25-4012, Curators,n/a,44210,30660,27770,52430
10,4,Hudson Valley Region, 27-0000,"Arts, Design, Entertainment, Sports, and Media Occupations",10640,64410,54660,28460,82380
10,3,Finger Lakes Region, 17-3013, Mechanical Drafters,330,50810,52510,33900,59270
10,2,Central New York Region, 47-2211, Sheet Metal Workers,70,49010,43820,29730,58650
10,8,North Country Region, 43-4151, Order Clerks,60,31010,28790,22970,35030
10,1,Capital Region, 43-3099," Financial Clerks, All Other",70,37950,37640,31260,41300
10,1,Capital Region, 37-2011,"Janitors and Cleaners, Except Maids and Housekeeping Cleaners",11170,29140,26360,22310,32550
10,7,New York City Region, 13-2082,Tax Preparers,1560,65340,67850,27340,84350
10,4,Hudson Valley Region, 51-9041,"Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders",220,34900,30790,23120,40790
1,36,New York State, 33-9021, Private Detectives and Investigators,1750,64180,61340,41420,75570
1,36,New York State, 51-7021, Furniture Finishers,830,37350,32710,28000,42030
10,9,Southern Tier Region, 19-4093, Forest and Conservation Technicians,n/a,52290,50960,37060,59910
10,7,New York City Region, 51-6061,Textile Bleaching and Dyeing Machine Operators and Tenders,n/a,24960,24960,24960,24960
10,2,Central New York Region, 51-4071, Foundry Mold and Coremakers,50,36710,35970,28190,40970
10,6,Mohawk Valley Region, 43-3061, Procurement Clerks,160,35350,33200,27270,39390
10,1,Capital Region, 31-9091, Dental Assistants,1010,39640,39960,30950,43990
10,4,Hudson Valley Region, 37-3011, Landscaping and Groundskeeping Workers,8900,36700,33820,23880,43110
10,10,Western New York Region, 25-3098,Substitute teachers,3190,31810,29910,25670,34870
1,36,New York State, 51-9083, Ophthalmic Laboratory Technicians,3040,38210,36320,26250,44190
10,9,Southern Tier Region, 25-1066," Psychology Teachers, Postsecondary",210,120140,113550,64170,148120
10,5,Long Island Region, 37-0000,Building and Grounds Cleaning and Maintenance Occupations,49440,37210,33080,23520,44060
10,10,Western New York Region, 29-2099," Health Technologists and Technicians, All Other",330,56630,48980,37530,66180
10,2,Central New York Region, 47-3011,"Helpers--Brickmasons, Blockmasons, Stonemasons, and Tile and Marble Setters",n/a,41080,36690,29130,47060
1,36,New York State, 47-2031, Carpenters,47220,63750,56200,35860,77700
10,9,Southern Tier Region, 39-9021, Personal Care Aides,4700,28120,25150,22960,30700
10,2,Central New York Region, 43-4131, Loan Interviewers and Clerks,230,42210,43640,32120,47260
10,8,North Country Region, 51-9122," Painters, Transportation Equipment",30,44280,37840,35820,48520
10,5,Long Island Region, 51-8021, Stationary Engineers and Boiler Operators,290,67390,67370,52160,75000
10,4,Hudson Valley Region, 11-3061, Purchasing Managers,370,161110,150650,85120,199110
10,9,Southern Tier Region, 51-6011, Laundry and Dry-Cleaning Workers,260,24040,22500,21632,25700
10,10,Western New York Region, 29-1199,"Health Diagnosing and Treating Practitioners, All Other",50,66810,59770,49250,75590
10,2,Central New York Region, 11-9199," Managers, All Other",460,104650,95590,47240,133360
10,6,Mohawk Valley Region, 47-2021, Brickmasons and Blockmasons,80,66670,68740,50240,74890
10,7,New York City Region, 19-1032, Foresters,n/a,65270,61690,59800,68010
10,10,Western New York Region, 25-1054," Physics Teachers, Postsecondary",90,83180,88000,53030,98250
10,4,Hudson Valley Region, 49-9071," Maintenance and Repair Workers, General",10800,46430,44900,28790,55250
10,3,Finger Lakes Region, 43-6011,Executive Secretaries and Executive Administrative Assistants,3060,59710,60090,40900,69120
10,7,New York City Region, 51-8021, Stationary Engineers and Boiler Operators,1960,95080,96500,66560,109330
10,3,Finger Lakes Region, 25-1067," Sociology Teachers, Postsecondary",70,70360,58660,38680,86210
10,3,Finger Lakes Region, 43-4031," Court, Municipal, and License Clerks",490,42800,37750,27630,50390
10,8,North Country Region, 43-9071," Office Machine Operators, Except Computer",20,34180,33720,23130,39700
10,5,Long Island Region, 51-2028,,2340,40140,38590,25970,47220
10,1,Capital Region, 35-9099,"Food Preparation and Serving Related Workers, All Other",n/a,23490,23120,22450,24010
10,6,Mohawk Valley Region, 27-2022, Coaches and Scouts,340,46000,39420,27930,55040
10,3,Finger Lakes Region, 51-5112, Printing Press Operators,1200,39570,37370,25570,46570
10,9,Southern Tier Region, 45-0000,"Farming, Fishing, and Forestry Occupations",480,39990,37190,24250,47870
10,6,Mohawk Valley Region, 53-3041, Taxi Drivers and Chauffeurs,220,26550,24760,22600,28530
10,3,Finger Lakes Region, 29-1124, Radiation Therapists,140,77040,75620,61700,84710
10,6,Mohawk Valley Region, 29-2041, Emergency Medical Technicians and Paramedics,490,33430,33100,24860,37720
10,6,Mohawk Valley Region, 29-1171, Nurse Practitioners,310,98740,98980,79540,108330
10,7,New York City Region, 53-6041, Traffic Technicians,1130,58150,64320,31250,71600
10,7,New York City Region, 43-3031," Bookkeeping, Accounting, and Auditing Clerks",43610,48310,47200,29720,57600
10,2,Central New York Region, 35-3021,"Combined Food Preparation and Serving Workers, Including Fast Food",9330,23350,21632,21632,24550
10,1,Capital Region, 43-3061, Procurement Clerks,440,46090,43610,32990,52650
10,2,Central New York Region, 21-1012,"Educational, Guidance, School, and Vocational Counselors",850,61660,64090,38120,73430
10,3,Finger Lakes Region, 27-3042, Technical Writers,190,64550,59950,45700,73970
10,4,Hudson Valley Region, 29-1122, Occupational Therapists,1370,95450,93530,67500,109430
1,36,New York State, 21-0000,Community and Social Service Occupations,178390,53360,48680,31090,64500
10,1,Capital Region, 43-0000,Office and Administrative Support Occupations,86930,41070,37830,26170,48510
10,2,Central New York Region, 49-3051, Motorboat Mechanics and Service Technicians,n/a,33920,34480,22560,39600
10,4,Hudson Valley Region, 47-3015,"Helpers--Pipelayers, Plumbers, Pipefitters, and Steamfitters",410,38990,36480,25780,45590
10,3,Finger Lakes Region, 13-2031, Budget Analysts,120,71620,70880,40650,87100
10,7,New York City Region, 43-4111," Interviewers, Except Eligibility and Loan",6520,41470,43510,27860,48280
10,6,Mohawk Valley Region, 15-1122, Information Security Analysts,80,87690,77340,50980,106050
10,7,New York City Region, 29-1127, Speech-Language Pathologists,4650,96640,83690,64900,112510
10,1,Capital Region, 11-9199," Managers, All Other",1260,93690,93630,55640,112720
10,5,Long Island Region, 27-3041, Editors,1020,70340,63410,42670,84180
1,36,New York State, 39-3091, Amusement and Recreation Attendants,16010,25470,23200,21632,27640
1,36,New York State, 39-2011, Animal Trainers,n/a,37930,35470,25650,44060
10,7,New York City Region, 39-5092, Manicurists and Pedicurists,10200,24960,24960,24960,24960
10,4,Hudson Valley Region, 51-5112, Printing Press Operators,520,43040,44390,29280,49920
10,4,Hudson Valley Region, 49-3022, Automotive Glass Installers and Repairers,n/a,32490,31340,27100,35190
10,10,Western New York Region, 47-4090,Miscellaneous Construction and Related Workers,n/a,39650,35530,25120,46920
10,5,Long Island Region, 43-4151, Order Clerks,860,34440,31640,22880,40440
10,5,Long Island Region, 41-9041, Telemarketers,600,28370,25410,22880,31880
1,36,New York State, 47-2181, Roofers,4460,61270,50310,31070,76370
10,2,Central New York Region, 39-1021,First-Line Supervisors of Personal Service Workers,730,38430,37630,29370,42960
10,7,New York City Region, 49-2095,"Electrical and Electronics Repairers, Powerhouse, Substation, and Relay",1620,79220,77420,70790,83430
10,4,Hudson Valley Region, 17-2111,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",440,106610,103210,65670,127090
10,1,Capital Region, 43-4161,"Human Resources Assistants, Except Payroll and Timekeeping",780,43380,43470,32740,48700
10,9,Southern Tier Region, 25-3011,Adult Basic and Secondary Education and Literacy Teachers and Instructors,90,61430,58660,42250,71020
10,5,Long Island Region, 17-3013, Mechanical Drafters,590,65340,63920,49620,73200
10,7,New York City Region, 15-0000,Computer and Mathematical Occupations,145990,107540,100950,59470,131570
10,8,North Country Region, 49-3021, Automotive Body and Related Repairers,160,36790,35360,25990,42180
10,10,Western New York Region, 17-3029,"Engineering Technicians, Except Drafters, All Other",140,58690,57620,46840,64620
10,6,Mohawk Valley Region, 43-5021, Couriers and Messengers,80,27060,24580,22770,29210
10,6,Mohawk Valley Region, 27-0000,"Arts, Design, Entertainment, Sports, and Media Occupations",1710,50050,39930,26940,61600
1,36,New York State, 25-1011," Business Teachers, Postsecondary",8150,107770,80890,45660,138830
10,7,New York City Region, 53-7011, Conveyor Operators and Tenders,n/a,38300,38270,31340,41780
10,1,Capital Region, 11-3031,Financial Managers,1540,142350,122660,88800,169140
10,4,Hudson Valley Region, 29-1064, Obstetricians and Gynecologists,n/a,235800,,143030,282180
10,10,Western New York Region, 47-2152," Plumbers, Pipefitters, and Steamfitters",1500,60360,63780,38160,71460
10,2,Central New York Region, 37-2021, Pest Control Workers,90,33170,31190,24030,37740
10,10,Western New York Region, 51-4035,"Milling and Planing Machine Setters, Operators, and Tenders, Metal and Plastic",170,44790,45980,34230,50070
10,4,Hudson Valley Region, 11-1021, General and Operations Managers,16120,140370,113480,56800,182160
10,3,Finger Lakes Region, 31-9099," Healthcare Support Workers, All Other",540,37260,30300,23010,44380
10,6,Mohawk Valley Region, 13-1199," Business Operations Specialists, All Other",270,67110,66800,43130,79100
10,5,Long Island Region, 43-5111,"Weighers, Measurers, Checkers, and Samplers, Recordkeeping",360,35920,33530,23750,42010
10,4,Hudson Valley Region, 49-2097,Electronic Home Entertainment Equipment Installers and Repairers,n/a,34610,34440,28580,37630
10,10,Western New York Region, 51-4072,"Molding, Coremaking, and Casting Machine Setters, Operators, and Tenders, Metal and Plastic",560,36090,32860,22660,42810
10,6,Mohawk Valley Region, 53-0000,Transportation and Material Moving Occupations,13560,35550,32800,23240,41710
10,5,Long Island Region, 31-9096,Veterinary Assistants and Laboratory Animal Caretakers,860,29730,27960,23350,32920
10,8,North Country Region, 39-9032, Recreation Workers,430,29310,24930,21632,33210
10,5,Long Island Region, 13-1031," Claims Adjusters, Examiners, and Investigators",4540,67930,64160,47010,78400
1,36,New York State, 17-1021, Cartographers and Photogrammetrists,n/a,75110,72090,46910,89200
1,36,New York State, 53-0000,Transportation and Material Moving Occupations,502440,42720,36400,23500,52330
10,8,North Country Region, 45-2092,"Farmworkers and Laborers, Crop, Nursery, and Greenhouse",n/a,26860,24760,22920,28820
10,3,Finger Lakes Region, 43-5081, Stock Clerks and Order Fillers,6710,27880,24420,22070,30780
10,2,Central New York Region, 43-0000,Office and Administrative Support Occupations,56760,39510,36180,24990,46760
10,5,Long Island Region, 19-3011, Economists,n/a,116790,102970,72280,139040
10,7,New York City Region, 13-1020,Buyers and Purchasing Agents,9970,78300,71850,47980,93460
10,3,Finger Lakes Region, 25-1042," Biological Science Teachers, Postsecondary",210,98090,69650,47730,123280
10,9,Southern Tier Region, 11-9161, Emergency Management Directors,n/a,80510,70920,49870,95830
10,9,Southern Tier Region, 39-9099," Personal Care and Service Workers, All Other",n/a,24670,21632,21632,26620
10,4,Hudson Valley Region, 25-1125," History Teachers, Postsecondary",150,88250,78060,54060,105340
1,36,New York State, 25-1113," Social Work Teachers, Postsecondary",2420,92100,75820,44010,116140
10,5,Long Island Region, 13-1041, Compliance Officers,2180,73900,69550,48140,86780
10,2,Central New York Region, 47-3015,"Helpers--Pipelayers, Plumbers, Pipefitters, and Steamfitters",n/a,45040,45260,32780,51170
10,6,Mohawk Valley Region, 53-7062,"Laborers and Freight, Stock, and Material Movers, Hand",3530,32010,29320,22690,36670
10,2,Central New York Region, 47-4021, Elevator Installers and Repairers,90,80840,90020,50040,96230
10,9,Southern Tier Region, 25-2022,"Middle School Teachers, Except Special and Career/Technical Education",1250,68970,62870,46740,80090
10,9,Southern Tier Region, 51-9022," Grinding and Polishing Workers, Hand",n/a,39500,41210,27650,45430
10,2,Central New York Region, 17-3019," Drafters, All Other",n/a,50950,48140,37040,57900
10,5,Long Island Region, 39-5012," Hairdressers, Hairstylists, and Cosmetologists",4710,27480,24050,22880,30760
1,36,New York State, 43-4051, Customer Service Representatives,159390,41460,37670,25670,49360
10,8,North Country Region, 17-3025, Environmental Engineering Technicians,n/a,47540,48950,33970,54330
10,7,New York City Region, 25-1067," Sociology Teachers, Postsecondary",600,101650,85000,45180,129880
10,1,Capital Region, 43-9111, Statistical Assistants,n/a,54890,56970,35510,64570
10,1,Capital Region, 17-2112, Industrial Engineers,1350,100770,96560,64500,118900
10,6,Mohawk Valley Region, 31-2011, Occupational Therapy Assistants,50,45110,44460,37640,48840
10,6,Mohawk Valley Region, 39-1010,First-Line Supervisors of Gaming Workers,n/a,52700,51340,39710,59190
10,10,Western New York Region, 47-2073,Operating Engineers and Other Construction Equipment Operators,1060,59440,57980,41560,68380
