SOC,Occupation,Probability,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
17-2121,Marine Engineers and Naval Architects,0.01,0,0,0,0,590,0,240,0,810,270,0,120,0,0,0,0,0,0,280,350,480,250,0,0,390,0,0,0,0,0,100,0,0,0,0,0,0,30,0,0,0,0,0,970,0,0,1710,630,0,0,0
17-2131,Materials Engineers,0.021,540,70,1090,50,3290,710,690,0,160,560,460,0,190,740,870,100,160,90,60,80,700,780,1300,370,90,410,60,90,90,70,350,310,1220,550,0,1590,190,0,1420,40,500,0,710,2100,400,0,490,0,70,560,0
17-2141,Mechanical Engineers,0.011,3460,530,4370,1130,24830,5440,5970,690,780,6980,4810,680,820,14500,8120,2370,2520,3240,1990,920,4990,9180,42080,7040,1170,3420,370,950,660,1680,4890,1200,11330,7100,610,14920,2580,3860,13440,1210,5220,520,3980,19690,3510,490,6950,7750,380,10290,230
17-2151,Mining and Geological Engineers; Including Mining Safety Engineers,0.14,180,160,340,0,630,610,0,0,0,100,90,0,60,250,50,0,0,190,0,0,0,0,50,370,0,40,0,0,400,0,0,180,140,80,70,110,330,0,410,0,0,0,50,720,290,0,0,100,260,0,190
17-2161,Nuclear Engineers,0.07,200,0,0,0,530,0,340,0,0,130,230,0,270,620,0,0,0,0,140,0,0,0,0,0,0,0,0,200,0,0,240,820,540,900,0,0,0,0,1880,0,1310,0,750,540,0,0,2730,1420,0,0,0
17-2171,Petroleum Engineers,0.16,130,790,40,90,2310,1680,0,0,0,0,60,0,0,190,0,0,140,0,1880,0,0,0,130,0,0,40,250,0,0,0,0,230,0,0,110,370,2830,0,970,0,0,0,0,17780,220,0,300,160,270,0,540
17-2199,Engineers; All Other,0.014,3440,620,1860,500,16290,2130,1240,0,2690,5120,2760,670,570,4830,1910,1460,630,920,4020,610,4830,2390,7410,2690,380,1260,200,980,580,680,3990,2280,2770,2170,360,6980,950,2530,4370,440,590,0,2490,9070,740,60,4330,3530,370,1490,110
17-3011,Architectural and Civil Drafters,0.52,1100,200,1810,490,14570,2400,850,320,320,6160,2800,560,660,2630,1280,840,570,610,1150,480,1110,2360,1860,2260,540,2190,600,570,730,530,2520,580,6210,2110,320,2770,1110,1160,4910,260,890,230,1090,11700,1710,190,2060,1990,470,1730,220
17-3012,Electrical and Electronics Drafters,0.81,310,40,580,140,5090,620,440,60,120,860,380,180,120,810,310,220,250,450,230,190,400,900,540,440,120,520,120,160,190,300,580,230,1480,640,50,760,300,450,1140,0,360,30,410,2970,250,40,490,970,50,460,0
17-3013,Mechanical Drafters,0.68,590,0,750,240,3900,880,1900,130,0,2460,1170,70,170,3640,1450,880,1100,800,1000,750,1220,1530,4310,2260,400,1050,80,470,210,350,1370,190,3750,1510,140,2440,1110,830,3370,60,810,170,1240,4900,650,90,2020,2250,150,2730,80
17-3021,Aerospace Engineering and Operations Technicians,0.48,190,0,570,60,2490,310,150,0,0,730,240,0,0,0,0,0,420,0,0,0,450,0,60,100,0,0,0,0,0,0,320,210,0,90,0,420,70,50,50,0,0,0,0,1200,130,0,160,0,0,0,0
17-3022,Civil Engineering Technicians,0.75,1600,520,1110,190,8360,1300,480,490,180,2930,1760,140,280,1930,800,850,1270,1330,570,400,1110,730,2420,2250,960,1240,350,370,890,170,920,600,1840,3250,500,1970,710,840,2280,290,700,420,1560,11750,580,370,2030,1730,810,1680,350
17-3023,Electrical and Electronics Engineering Technicians,0.84,2020,490,2820,570,24250,1640,1530,180,340,5400,3840,550,660,3810,2230,1000,960,910,1460,360,3940,5170,3180,2360,1150,1720,150,470,1570,1090,2570,1300,5880,2630,340,2450,1550,0,5260,720,1700,170,2430,15370,1570,320,5720,2180,380,2070,100
17-3024,Electro-Mechanical Technicians,0.81,110,40,340,0,2430,180,70,0,0,250,260,0,0,400,260,90,0,150,0,0,170,750,550,260,0,0,0,70,100,160,260,210,530,140,0,420,390,610,560,0,120,0,360,1400,140,0,620,180,0,150,0
17-3025,Environmental Engineering Technicians,0.25,210,150,160,180,2590,340,150,50,0,680,640,0,40,420,270,110,90,140,370,70,420,650,250,290,180,300,50,230,110,0,510,120,1220,290,90,320,370,200,940,40,390,0,670,780,230,90,410,350,120,160,60
17-3026,Industrial Engineering Technicians,0.03,1130,70,1910,350,4040,750,1040,60,0,2070,1010,0,220,1900,2820,530,570,960,320,360,650,2090,4790,2950,410,1100,40,310,100,420,470,0,3170,2890,230,3200,710,630,2570,100,1440,130,4380,3290,680,1260,890,0,110,1690,0
17-3027,Mechanical Engineering Technicians,0.38,710,100,560,210,4030,460,950,80,0,750,750,50,60,2630,1230,380,380,440,160,170,540,1670,4560,1380,730,710,30,140,150,350,440,120,1560,980,110,2280,740,440,2080,60,740,140,1250,4980,1050,40,1170,820,0,2000,0
17-3029,Engineering Technicians; Except Drafters; All Other,0.24,830,290,1500,440,9690,1550,580,0,310,2100,1430,580,160,4650,1590,830,0,700,1770,800,1700,1960,2300,1530,480,720,150,300,370,390,920,2120,2030,840,270,3260,1060,1110,5120,160,540,80,1170,7050,1080,30,3250,2170,240,1080,310
17-3031,Surveying and Mapping Technicians,0.96,700,200,1050,310,3530,0,280,120,0,5250,1720,80,260,1270,830,280,500,660,1200,330,750,580,1120,790,560,840,240,680,250,270,640,720,1480,2910,190,1370,980,740,1730,100,1040,110,1250,7730,350,120,1890,1220,390,530,180
19-1011,Animal Scientists,0.061,0,0,0,0,140,0,0,0,0,80,30,0,0,50,0,90,30,0,0,0,100,100,190,120,0,100,0,120,0,0,40,0,170,0,0,70,0,0,60,0,0,70,40,180,0,0,0,0,0,310,0
19-1012,Food Scientists and Technologists,0.077,0,0,30,140,2520,130,0,0,0,230,740,0,200,460,0,330,300,70,0,40,240,310,0,650,0,280,0,410,0,0,1150,110,580,200,40,750,50,230,350,50,60,50,130,570,120,60,80,140,0,630,0
19-1013,Soil and Plant Scientists,0.021,40,40,230,50,2100,230,100,90,60,290,220,110,180,470,130,1640,450,160,80,0,170,50,330,650,100,320,210,730,0,0,60,50,190,1140,220,190,60,620,180,0,0,460,100,820,60,0,120,520,0,450,40
19-1021,Biochemists and Biophysicists,0.027,30,0,0,50,4960,430,410,140,0,860,0,0,30,1260,240,110,40,370,0,230,1640,0,550,1020,0,0,0,110,0,110,3540,0,1530,810,0,0,50,140,1270,0,50,0,250,1160,210,0,500,300,0,440,0
19-1022,Microbiologists,0.012,110,40,120,150,5070,450,0,0,0,260,780,110,90,750,0,200,70,80,0,80,1970,1400,330,360,40,280,110,120,70,80,520,40,1340,290,0,540,50,110,1060,0,90,60,310,800,190,40,380,290,50,340,0
19-1023,Zoologists and Wildlife Biologists,0.3,80,730,340,150,2200,640,0,0,90,1750,290,140,580,200,30,80,150,180,50,0,430,260,250,590,190,380,310,0,170,120,120,160,430,470,110,160,0,920,230,40,160,190,80,290,280,110,280,1990,140,360,320
19-1029,Biological Scientists; All Other,0.015,220,340,520,250,7170,820,150,0,280,1550,850,290,270,580,360,240,250,250,600,0,3540,3460,250,510,290,390,400,150,220,100,330,360,620,830,170,860,270,850,540,40,160,100,300,2270,230,0,580,1180,180,530,170
19-1031,Conservation Scientists,0.016,110,190,340,260,1260,1170,50,50,260,260,410,140,280,540,210,440,190,180,630,80,490,300,290,730,590,520,530,250,230,50,330,210,520,450,260,380,240,820,770,40,220,290,170,1740,260,110,650,920,160,720,180
19-1032,Foresters,0.0081,220,60,0,190,690,190,70,0,0,260,200,0,330,120,100,90,0,140,0,90,70,110,310,300,180,160,190,40,0,90,0,130,210,290,40,170,40,460,280,0,200,120,170,120,0,80,280,520,120,430,60
19-1041,Epidemiologists,0.2,40,0,130,40,750,320,120,0,60,40,280,0,0,200,100,40,0,50,0,0,340,260,150,210,80,110,0,0,0,0,120,0,230,100,0,190,60,0,110,0,0,0,0,410,90,0,110,270,70,0,0
19-1042,Medical Scientists; Except Epidemiologists,0.0045,190,0,1840,140,24260,1130,1640,250,690,1940,1390,310,130,2820,1470,920,600,650,140,190,5010,9710,2790,2290,300,2100,130,460,280,370,4150,370,9900,3230,30,4210,220,1930,6750,0,310,140,1540,3540,550,290,1900,4430,80,1000,0
19-2011,Astronomers,0.041,0,0,200,0,190,0,0,0,0,0,0,90,0,0,0,0,0,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,220,0,0,0,0,0,0,0
19-2012,Physicists,0.1,190,0,70,0,2860,1010,100,0,570,540,100,50,160,690,210,30,0,0,0,0,1140,360,410,130,90,120,0,0,0,70,390,1640,1070,380,0,510,50,90,210,60,190,0,220,970,30,0,830,460,0,350,0
19-2021,Atmospheric and Space Scientists,0.67,0,150,90,0,700,1580,30,0,60,460,80,60,50,0,70,90,100,90,60,70,590,480,120,250,60,140,100,110,90,70,120,150,470,160,0,110,150,130,90,0,60,0,120,650,160,0,400,270,0,100,70
19-2031,Chemists,0.1,650,130,570,370,11660,1870,1470,0,250,2370,1310,120,320,3380,2280,380,490,920,750,140,3240,2860,2920,1680,0,1880,160,620,250,270,6410,300,4170,3720,130,4110,460,660,5250,190,1100,150,1140,6400,880,170,1540,1590,210,2580,110
19-2032,Materials Scientists,0.021,80,0,60,0,1450,150,60,70,0,130,0,0,30,290,0,0,0,40,130,0,130,390,370,190,0,120,0,0,90,70,150,100,370,230,0,640,0,40,390,0,50,0,180,320,50,0,350,0,40,70,0
19-2041,Environmental Scientists and Specialists; Including Health,0.033,880,640,1320,480,14790,3140,810,410,1390,5320,1160,640,440,2740,820,640,640,960,1280,410,2010,1770,2140,1660,450,940,390,430,770,400,2900,1110,3700,3370,280,3140,430,900,2260,260,370,240,1210,5050,620,430,2840,3340,500,950,450
19-2042,Geoscientists; Except Hydrologists and Geographers,0.63,280,460,390,60,3910,2180,130,60,0,570,280,50,110,290,280,70,260,220,1100,110,440,170,400,220,360,210,240,70,720,90,290,350,940,440,50,350,1090,300,1030,120,170,70,220,9070,210,50,400,1070,90,0,200
19-2043,Hydrologists,0.014,0,60,270,0,730,410,40,0,0,230,40,0,190,80,40,0,0,0,0,50,50,50,90,350,0,80,140,90,140,60,220,150,230,200,60,250,40,210,140,0,100,0,90,340,120,0,70,370,0,180,30
19-2099,Physical Scientists; All Other,0.43,80,120,70,0,2410,480,60,0,670,450,380,140,190,590,970,40,140,150,50,0,1580,260,1550,0,300,110,90,60,200,80,510,740,970,810,70,400,0,300,350,0,100,40,80,1100,110,0,1040,310,80,90,0
19-3011,Economists,0.43,30,40,100,90,1540,190,200,30,7420,210,380,140,0,360,0,50,40,70,40,0,650,0,270,350,0,280,80,30,110,70,130,70,570,190,0,120,30,230,540,0,100,0,60,930,60,90,1170,310,30,400,40
19-3022,Survey Researchers,0.23,0,0,160,60,1360,150,200,60,510,450,180,160,0,770,380,0,300,80,0,30,880,520,400,120,0,160,0,210,0,0,730,30,610,230,0,130,0,80,960,0,60,0,60,570,180,0,310,140,0,50,50
19-3031,Clinical; Counseling; and School Psychologists,0.0047,560,270,2500,450,18990,2830,1760,340,430,2720,2070,790,420,3930,1300,650,1230,1060,600,260,2130,4900,2750,3320,370,1540,450,490,490,390,3600,910,11230,3090,260,3110,920,1130,5040,610,1170,250,1700,5820,1410,410,2340,2050,610,2150,200
19-3032,Industrial-Organizational Psychologists,0.012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,0,0,0,50,0,0,0,0,30,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,310,0,0,0,0
19-3039,Psychologists; All Other,0.0043,130,0,140,80,1800,260,210,0,210,1470,340,0,50,800,180,70,110,160,220,40,520,900,270,210,70,190,50,0,0,0,100,90,610,310,0,360,100,180,440,60,140,40,180,660,0,0,340,390,110,180,30
19-3041,Sociologists,0.059,0,0,30,0,1100,0,0,0,0,80,0,0,0,80,0,0,0,0,0,0,30,80,70,0,0,0,0,0,0,0,60,0,290,180,0,80,0,40,80,0,0,0,0,100,30,0,100,80,0,140,0
19-3051,Urban and Regional Planners,0.13,360,190,740,90,6770,810,380,230,240,1920,470,430,290,690,580,210,260,300,70,110,990,1200,670,1050,180,280,260,230,210,180,450,370,1430,1230,50,570,170,880,1640,140,380,200,340,2130,320,180,1210,2070,70,470,120
19-3091,Anthropologists and Archeologists,0.0077,80,120,320,30,1320,230,0,0,70,170,80,160,120,70,100,30,0,80,110,0,180,0,0,30,0,130,60,0,160,0,0,320,80,80,0,110,0,430,80,0,50,50,90,310,110,0,150,220,50,0,80
19-3092,Geographers,0.25,0,0,40,0,110,60,0,0,0,0,50,0,0,0,0,0,0,0,0,0,180,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,40,30,0,0,0,0,120,0,0,70,30,0,0,0
19-3093,Historians,0.44,40,0,0,0,260,60,0,0,0,60,80,0,0,70,30,0,0,0,0,0,80,40,40,0,120,80,0,0,0,0,110,0,460,40,0,70,30,50,100,0,0,0,0,120,60,0,140,0,0,50,0
19-3094,Political Scientists,0.039,0,0,140,0,300,0,0,0,3790,0,40,0,0,40,0,0,0,0,0,0,100,50,0,0,0,0,0,0,0,0,0,0,80,0,0,40,0,0,60,0,0,0,0,370,0,0,850,100,0,0,0
19-3099,Social Scientists and Related Workers; All Other,0.04,0,180,530,0,4440,680,360,50,3280,1760,1130,360,50,1070,200,0,260,370,210,130,2230,650,440,260,200,200,50,160,130,50,400,190,2470,1200,80,1680,150,310,540,60,190,90,380,2140,260,40,4850,740,190,210,40
19-4011,Agricultural and Food Science Technicians,0.97,100,0,160,580,2840,180,0,0,0,210,610,60,450,710,630,1360,360,340,170,40,280,100,240,1020,220,450,50,460,0,0,280,120,930,500,170,510,290,670,570,0,0,250,350,1930,100,90,360,330,0,1120,0
19-4021,Biological Technicians,0.3,340,420,1180,260,12890,2860,1130,110,0,2060,1200,610,810,1150,1430,1090,690,680,200,530,3520,5470,1110,990,390,1210,410,370,320,570,1320,320,3440,2260,0,2930,1090,2730,3990,100,580,210,660,3760,710,110,1790,2760,190,1050,250
19-4031,Chemical Technicians,0.57,930,140,890,600,6710,950,780,640,50,2010,1270,0,240,2120,1570,480,500,620,2050,130,1080,1970,2240,1470,340,1200,120,320,1040,180,4170,230,2710,2110,70,3760,540,270,3980,140,1060,90,1550,6260,970,70,1240,910,600,1800,330
19-4041,Geological and Petroleum Technicians,0.91,90,490,100,40,1440,590,0,0,0,120,140,0,50,90,0,0,110,80,740,0,40,30,120,100,210,50,60,0,230,0,0,150,70,0,0,130,1340,50,630,0,50,0,50,6340,200,0,40,90,210,0,300
19-4051,Nuclear Technicians,0.85,0,0,0,0,120,0,130,0,0,0,0,0,330,680,0,0,0,0,290,0,0,0,140,0,0,90,0,0,0,0,30,0,0,0,0,0,0,0,870,0,900,0,240,270,0,0,360,40,0,0,0
19-4061,Social Science Research Assistants,0.65,0,40,1810,240,2810,290,110,30,3620,340,750,120,0,830,1180,110,0,80,90,170,590,1240,530,160,0,190,0,300,150,0,250,0,6340,1210,0,320,140,320,1020,0,220,0,260,1400,470,0,900,330,420,380,0
19-4091,Environmental Science and Protection Technicians; Including Health,0.77,340,110,720,170,4560,830,310,210,50,1400,690,240,330,810,630,190,380,270,450,120,440,640,840,690,230,450,80,120,480,200,980,220,2170,1110,110,1530,370,260,1080,50,210,80,690,3630,310,80,680,1050,720,510,130
19-4092,Forensic Science Technicians,0.0095,270,0,760,140,2040,320,110,0,0,1480,450,60,100,690,280,80,320,60,190,50,380,40,270,50,100,300,50,100,230,30,90,110,720,500,0,370,0,220,250,0,100,30,390,1030,120,0,660,460,130,170,50
19-4093,Forest and Conservation Technicians,0.42,240,460,1350,240,6960,1170,0,0,0,200,270,110,2330,490,90,400,90,190,120,40,130,110,310,530,230,180,2080,140,510,90,30,980,410,560,130,240,110,2580,350,0,240,0,0,370,1370,0,260,1290,90,570,660
19-4099,Life; Physical; and Social Science Technicians; All Other,0.61,890,300,860,370,7660,930,720,0,290,2960,1470,650,0,3400,1090,840,350,890,540,210,3150,2400,5480,800,190,1830,130,290,680,110,1600,450,5120,1130,250,1580,1130,1380,2120,70,160,80,1090,7790,470,60,1660,1420,160,870,130
21-1011,Substance Abuse and Behavioral Disorder Counselors,0.033,830,290,2900,670,9050,1540,2600,280,180,4440,970,370,380,3340,900,1270,980,1260,650,440,2540,5010,1840,2420,630,1810,470,570,460,220,2840,710,7600,1820,300,2660,1180,1740,6730,230,830,490,1660,3760,910,340,2750,2810,380,1810,190
21-1012,Educational; Guidance; School; and Vocational Counselors,0.0085,3360,790,7710,1960,28560,4220,4650,1030,1490,11230,9550,1510,1440,10340,3960,2550,2190,3540,3710,1320,6130,7240,5800,4020,1990,6610,790,1640,2010,1190,6800,1570,22630,6400,780,9490,3620,2340,8790,1020,4500,780,4150,23890,2910,770,6610,4740,1490,4290,600
21-1013,Marriage and Family Therapists,0.014,190,40,1740,70,10350,570,370,240,0,3030,240,0,0,410,620,340,350,240,0,0,1310,330,320,1080,100,430,0,90,360,60,4080,60,720,370,130,450,460,400,1350,0,90,90,680,1250,260,0,1000,350,520,1000,40
21-1014,Mental Health Counselors,0.0048,970,650,1110,770,15300,5100,2090,450,930,3990,2550,290,1080,5150,2210,1470,630,2140,2310,290,2390,6830,2580,4140,940,2860,1030,940,680,950,4790,1110,6970,4000,70,4750,2280,2720,13020,300,770,450,2470,4850,1210,670,8980,4050,670,2550,320
21-1015,Rehabilitation Counselors,0.0094,1030,290,770,380,11240,1670,2490,360,810,2820,1050,180,1910,2970,1010,1700,710,870,740,550,1970,5920,2700,3580,510,2890,460,600,300,450,1570,430,8730,2640,240,4420,1940,1820,7930,510,640,480,2960,3950,490,520,3010,4880,950,1840,150
21-1021,Child; Family; and School Social Workers,0.028,3410,1290,6270,1450,30310,6460,5650,1200,2090,9780,6670,1790,1470,12150,6100,3140,2320,7800,1090,1500,4720,11970,13490,7210,2560,8070,1420,2340,3230,460,6310,2090,22630,10140,710,9150,6890,3230,18580,1740,3440,1620,4790,16640,1920,1500,8620,6160,1030,3470,770
21-1022,Healthcare Social Workers,0.0035,2160,370,4440,1310,14530,2280,2120,540,580,6390,4320,1000,550,5050,4470,1420,1060,1740,1740,770,3960,12610,6070,3110,1530,4300,580,1130,610,610,3190,1070,12540,3540,340,9140,2110,1480,7280,770,2010,550,3040,9840,1130,400,2990,3000,700,2690,180
21-1023,Mental Health and Substance Abuse Social Workers,0.0031,1150,460,2510,830,12850,1770,2030,420,540,3190,1330,570,510,3360,2080,990,900,820,1210,1180,2320,5810,3730,2950,820,2820,550,390,670,220,1600,900,11040,3500,290,4980,1360,2110,10170,750,0,290,1630,3310,1130,980,4210,2300,190,1520,130
21-1091,Health Educators,0.045,300,300,1330,220,7990,780,640,180,690,3250,3190,330,460,1770,1020,510,370,530,570,350,1890,1840,1310,1470,510,1150,310,660,190,180,550,500,4890,940,220,1870,970,740,2140,260,840,140,960,2570,370,200,1180,1590,470,1660,200
21-1092,Probation Officers and Correctional Treatment Specialists,0.25,1090,300,1980,900,11760,2390,0,0,0,4420,2510,50,630,2190,1850,610,720,0,1050,350,1770,1050,2630,1380,520,2350,360,520,860,210,2740,780,4450,2890,170,2920,1250,1590,4310,0,440,430,1800,8070,650,200,2880,2110,840,1430,180
21-1093,Social and Human Service Assistants,0.13,1250,1350,6130,3550,41130,2360,7760,810,2020,11730,6240,1750,2630,12780,6480,4580,3810,4020,3490,3060,8200,16760,9480,13820,1970,3960,1280,3920,1360,2050,20480,2360,33350,7470,1470,15480,1540,6130,19360,2400,4730,910,2250,16620,5610,2480,6750,6100,2040,12600,860
21-2011,Clergy,0.0081,440,120,880,320,5210,490,450,70,110,2160,620,500,210,2090,810,320,310,580,280,60,660,650,2460,840,200,730,630,370,130,90,1190,150,8490,960,120,1680,390,4660,2060,330,500,170,630,2480,0,40,1190,510,140,620,0
21-2021,Directors; Religious Activities and Education,0.025,0,40,0,90,3820,180,70,0,180,1190,490,410,50,1210,240,100,30,40,0,0,380,200,1730,340,70,90,450,70,0,0,210,0,3350,130,0,360,50,1550,1410,110,90,50,90,530,60,0,560,150,50,110,0
23-1011,Lawyers,0.035,5380,930,9910,3040,76840,11230,7260,2590,31470,47590,16870,2040,1970,30250,7360,3280,3650,5350,6840,1740,11490,17440,14850,10450,3070,9640,1970,2920,5050,1590,19870,2890,72760,11330,1000,15920,6360,6530,25320,1800,6200,760,7570,43240,4580,1120,16890,10760,2260,7530,810
23-1012,Judicial Law Clerks,0.41,0,0,440,70,0,170,250,0,0,200,550,0,90,160,70,0,30,50,180,30,1190,0,0,430,70,130,90,40,120,0,550,0,690,0,40,350,50,40,1150,0,150,0,140,670,460,0,90,460,160,110,0
23-1021,Administrative Law Judges; Adjudicators; and Hearing Officers,0.64,120,0,340,380,1610,210,210,80,0,550,530,50,60,540,90,70,50,380,260,130,200,140,470,140,90,180,60,70,150,120,290,140,1410,0,0,460,180,420,850,70,110,0,300,1210,160,50,510,320,110,80,0
23-1022,Arbitrators; Mediators; and Conciliators,0.06,50,0,400,0,900,60,60,0,100,310,150,30,0,220,0,80,60,0,0,30,70,90,300,110,0,140,70,0,0,50,50,0,470,90,0,120,0,50,340,0,80,0,110,450,30,0,0,150,0,160,0
23-1023,Judges; Magistrate Judges; and Magistrates,0.4,500,80,800,320,0,590,240,120,0,1330,1400,130,140,0,790,390,310,290,210,80,510,0,780,470,310,570,80,0,230,0,970,300,3250,0,90,2420,930,360,270,110,640,40,400,2790,100,0,0,990,300,90,0
23-2011,Paralegals and Legal Assistants,0.94,2870,730,5550,1490,29190,5750,4920,1210,5400,24430,8170,1140,860,10390,3790,0,1860,3020,4070,1170,6200,7880,5570,4770,1780,4790,880,1250,1930,1120,7870,1600,22210,8920,410,7890,2800,3290,10800,1220,5340,350,3830,22120,2620,660,0,5270,2150,4690,520
23-2091,Court Reporters,0.5,330,0,190,190,0,340,290,60,0,1120,690,90,60,840,780,230,220,40,400,0,2440,280,880,360,70,220,60,80,110,0,160,130,1380,90,80,440,0,0,840,0,140,50,130,1370,0,0,0,0,70,100,0
23-2093,Title Examiners; Abstractors; and Searchers,0.99,270,110,770,620,5340,0,110,0,60,4090,330,300,370,1620,1240,750,510,220,780,0,1090,480,1720,1360,240,0,290,260,450,130,1830,420,3450,760,410,2130,1680,740,2240,300,240,410,710,8830,580,0,980,1390,260,770,170
25-1000,Postsecondary Teachers,0.032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25-2011,Preschool Teachers; Except Special Education,0.0074,1550,520,7170,3160,48570,8440,6160,2020,990,19160,13280,1610,1130,19230,5080,3830,2300,2800,3230,1220,9330,15610,7740,6580,2350,4870,1130,810,1630,2820,14050,2250,40010,12070,820,12160,4510,6800,14730,1390,4610,1140,6570,27140,960,1130,9720,8870,1510,10120,690
25-2012,Kindergarten Teachers; Except Special Education,0.15,1200,1000,3230,1700,16280,3840,1610,440,60,11490,6360,100,370,4030,2460,980,1410,2540,2550,920,2310,2960,2330,3230,1130,1890,420,1030,1260,440,5190,1160,7400,3690,510,6150,2400,1120,5000,540,2550,650,3150,15490,660,380,4790,7680,1040,1670,490
25-2021,Elementary School Teachers; Except Special Education,0.0044,24710,3020,22320,12540,149340,26510,17960,4220,2770,73190,51990,6170,7190,60960,26910,17190,14570,18800,23510,5850,24960,27900,39850,28360,15390,28490,4260,9930,10430,5910,44680,7950,79570,40520,4190,47130,16750,13090,51990,3480,21450,3960,29950,144980,15680,3680,35610,24320,6230,29160,3100
25-2022,Middle School Teachers; Except Special and Career/Technical Education,0.17,9390,1420,9910,5880,47440,13240,9240,1970,1440,31880,27240,1930,2760,31080,9730,6270,5770,8180,6600,2980,11550,18610,15260,10630,5780,13220,2280,3720,4440,3720,24470,4050,40350,18820,970,31180,7600,5560,24520,1800,9070,2030,10340,72080,4820,1050,16180,9950,4520,12280,1100
25-2023,Career/Technical Education Teachers; Middle School,0.26,70,80,250,90,630,220,200,0,0,380,580,0,0,160,200,30,120,0,90,0,0,240,270,110,370,0,0,0,0,0,0,0,1930,1210,0,290,240,0,670,0,190,50,100,1370,80,0,360,420,0,230,70
25-2031,Secondary School Teachers; Except Special and Career/Technical Education,0.0078,13100,2250,15180,10380,104530,16710,14890,2650,3090,44070,25600,3610,5230,44360,19020,12030,10480,12540,13930,5860,21780,25650,19970,20820,9040,26800,3260,7440,6060,5200,30310,6560,65880,23760,2780,52750,11720,10210,45070,3690,14770,3550,19330,106870,9150,2580,26050,14130,3770,22760,2010
25-2032,Career/Technical Education Teachers; Secondary School,0.0088,410,180,1060,1180,4230,770,2820,0,0,8090,1830,0,210,1320,1320,530,760,190,1500,0,770,2560,1410,630,1400,1080,230,460,250,370,2000,290,4160,4920,460,5960,800,230,4530,80,1110,340,2490,9290,440,250,2540,2780,590,550,300
25-2053,Special Education Teachers; Middle School,0.016,560,200,1550,640,6910,1670,1140,0,210,2000,4290,0,190,5080,930,580,600,1520,1620,500,2340,4000,1080,1460,870,1060,290,550,360,620,6650,530,11320,3260,120,4620,990,670,3250,340,1280,290,770,6330,620,240,2760,1230,930,630,220
25-2054,Special Education Teachers; Secondary School,0.0077,710,240,2250,1340,10140,2120,2030,310,650,2240,2800,650,330,6910,1990,1200,940,2100,2420,900,3320,4440,2060,3410,1160,2650,720,920,560,720,6280,920,17280,4350,370,6870,1330,970,7180,390,1410,500,1900,10620,910,490,4100,1940,720,1360,340
25-3011,Adult Basic and Secondary Education and Literacy Teachers and Instructors,0.19,580,40,0,560,7880,910,500,310,270,2260,1420,360,340,2440,520,250,300,550,430,160,900,1630,1170,1270,660,450,280,440,200,170,1590,520,5010,3380,0,2060,570,560,1610,280,370,320,670,6370,0,120,1920,2470,130,640,60
25-3021,Self-Enrichment Education Teachers,0.13,2200,360,3180,630,24600,4140,2830,350,330,13060,5900,1230,620,10040,2750,1910,1050,1060,1330,1150,5090,9740,5590,5980,1300,3670,460,1720,1080,1400,9060,1040,34010,7320,450,6970,1040,3300,8880,960,2870,250,2480,14740,3640,650,0,6950,550,4190,390
25-3999,Teachers and Instructors; All Other,0.0095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25-4011,Archivists,0.76,70,0,60,50,520,50,80,40,180,160,60,0,0,260,120,0,40,0,80,0,270,250,110,80,0,110,0,0,30,0,100,40,880,110,0,120,40,70,280,60,80,0,90,490,0,40,100,160,0,120,0
25-4012,Curators,0.0068,110,60,250,50,1020,270,200,60,130,360,200,30,30,370,150,140,130,110,170,100,120,590,290,200,40,150,100,80,120,80,120,120,1310,490,40,510,90,140,540,50,110,80,160,540,60,50,380,290,30,250,90
25-4013,Museum Technicians and Conservators,0.59,50,60,100,70,1610,220,260,0,420,280,160,50,0,760,100,70,140,0,90,80,440,390,160,160,0,880,70,90,140,0,40,60,920,170,0,380,90,120,470,30,90,50,110,510,70,40,330,300,0,80,80
